Nro;ID_PFI2023;ORDEN DE PRIORIZACIÓN DE LA JURISDICCIÓN;ID_JURISDICCION;REGION;JURISDICCION;TITULO;INSTITUCION EJECUTORA;INSTITUCION BENEFICIARIA;CARACTER DE LA INSTITUCION BENEFICIARIA;MONTO MINCYT SOLICITADO;MONTO CONTRAPARTE ;MONTO TOTAL PROYECTO;RELACION MINCYT;MONTO RUBRO RECURSOS HUMANOS;MONTO BIENES DE CAPITAL;MONTO FORMULACION PY UVT;PERFIL INSTITUCIONAL del BENEFICIARIO;OSE PRINCIPAL
1;BA-1-PFI-2023;1;BA;METROPOLITANA;BUENOS AIRES;Mejora en la Eficiencia y Extensión de la Vida Util de un Equipo de Produccion Nacional para la Separacion de Residuos Oleosos Portuarios;INSTITUTO DE CIENCIA Y TECNOLOGIA DE ALIMENTOS Y AMBIENTE (INCITAA);UNIVERSIDAD NACIONAL DE MAR DEL PLATA;PUBLICO;25000000;12451746;37451746;0.667525620834874;12451746;12010000;490000;Univ Pub;02-Medio Ambiente
2;BA-2-PFI-2023;2;BA;METROPOLITANA;BUENOS AIRES;Desarrollo de Formulación GalEnica, a base de propóleo, y dispositivo de aplicación intravaginal/intrauterina para porcinos y bovinos.;Laboratorio de Biomateriales , BiomecAnica  y Bioinstrumentación(Lab3Bio) Escuela de Ciencia y Tecnología UNSAM;UNIVERSIDAD NACIONAL DE GENERAL SAN MARTIN;PUBLICO;27830000;16490000;44320000;0.62793321299639;14340000;12740000;770000;Univ Pub;08-Agricultura
3;BA-3-PFI-2023;3;BA;METROPOLITANA;BUENOS AIRES;Trituradora Primaria Móvil de NeumAticos Fuera de Uso;UNIVERSIDAD TECNOLOGICA NACIONAL FACULTAD REGIONAL LA PLATA;UNIVERSIDAD TECNOLOGICA NACIONAL FACULTAD REGIONAL LA PLATA;PUBLICO;33000000;8800000;41800000;0.789473684210526;7440000;1000000;0;Univ Pub;02-Medio Ambiente
4;BA-4-PFI-2023;4;BA;METROPOLITANA;BUENOS AIRES;Aplicación de Lactiplantibacillus plantarum como cultivo probiótico adjunto para el desarrollo de un alimento cArnico crudo-curado fermentado funcional;FACULTAD DE CIENCIAS VETERINARIAS UNCPBA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;PUBLICO;16000000;5400000;21400000;0.747663551401869;5400000;8000000;0;Univ Pub;06-Producción y tecnología industrial
5;BA-5-PFI-2023;5;BA;METROPOLITANA;BUENOS AIRES;Rediseño de una planta piloto para extracción de aceites vegetales a travEs de CO2 en estado supercrítico.;UNIVERSIDAD NACIONAL ARTURO JAURETCHE;UNIVERSIDAD NACIONAL ARTURO JAURETCHE;PUBLICO;20000000;5000000;25000000;0.8;2400000;10000000;500000;Univ Pub;06-Producción y tecnología industrial
6;BA-6-PFI-2023;6;BA;METROPOLITANA;BUENOS AIRES;AnAlisis de fatibilidad de aplicación de espectrometría de masas para la determinación de bajas concentraciones de isótopos de hidrógeno orientado a los programas de vigilancia de centrales nucleares de potencia de Uranio Natural y Agua Pesada.;COMISION NACIONAL DE ENERGIA ATOMICA;COMISIÓN NACIONAL DE ENERGÍA ATÓMICA;PUBLICO;49700000;16557000;66257000;0.750109422400652;14040000;19400000;0;CNEA;05-Energía
7;BA-7-PFI-2023;7;BA;METROPOLITANA;BUENOS AIRES;Desarrollo y Producción a Escala Piloto de una Barra de Cereal Rica en Fibras y Proteínas Mediante la Revalorización de Subproductos de la Industria Alimentaria.;UNIVERSIDAD NACIONAL DE HURLINGHAM;UNIVERSIDAD NACIONAL DE HURLINGHAM;PUBLICO;20000000;10788000;30788000;0.649603741717552;10788000;10000000;0;Univ Pub;06-Producción y tecnología industrial
8;CA-1-PFI-2023;1;CAB;METROPOLITANA;CABA;Laboratorios de Tecnologías Emergentes Aplicadas con Orientación a la Transición EnergEtica;SECRETARIA DE CIENCIA Y TECNOLOGIA DE RECTORADO Y CONSEJO SUPERIOR DE LA UNIVERSIDAD DE BUENOS AIRES;UNIVERSIDAD DE BUENOS AIRES;PUBLICO;120000000;3000000;123000000;0.975609756097561;30000000;60000000;640000;Univ Pub;05-Energía
9;CA-2-PFI-2023;2;CAB;METROPOLITANA;CABA;Desarrollo de herramientas de diagnóstico temprano de trastornos cardíacos en pacientes con serologia positiva para la enfermedad de Chagas y transferencia de la tecnología desarrollada.;UNIVERSIDAD ABIERTA INTERAMERICANA A TRAVES DE SU CENTRO DE ALTOS ESTUDIOS EN CIENCIAS HUMANAS Y DE LA SALUD (CAECHIS);UNIVERSIDAD ABIERTA INTERAMERICANA;PRIVADO;14980000;6420000;21400000;0.7;0;7000000;400000;Univ Priv;07-Salud
10;CA-1-PFI-2023;1;CA;NOA;CATAMARCA;IMPLEMENTACI ÓN DE UN BIOBANCO REGIONAL CON TECNOLOGÍASDE PROTECCIÓN DE INFORMACIÓN: PRINCIPIOS PARA AVANZAR EN LA INVESTIGACIÓN Y EN LA TOMA DE DECISIONES ENTORNO A LA SALUD DE LA COMUNIDAD CATAMARQUEÑA.;UNCA;Universidad Nacional de Catamarca;PUBLICO;25000000;9160000;34160000;0.731850117096019;7800000;12500000;640000;Univ Pub;07-Salud
11;CA-2-PFI-2023;2;CA;NOA;CATAMARCA;CREACIÓN DE ELISA IN HOUSE PARA LA DETECCIÓN DE TRIQUINOSIS;UNCA;Universidad Nacional de Catamarca;PUBLICO;15000000;5400000;20400000;0.735294117647059;5400000;7500000;400000;Univ Pub;07-Salud
12;CA-3-PFI-2023;3;CA;NOA;CATAMARCA;RIEGO POR VERTIENTE - APROVECHAMIENTO DEL NIVEL NATURAL DEL TERRENO;Subsecretaria de Planificación Modernización e inclusión de nuevas tecnologías de la Municipalidad de Valle Viejo;MUNICIPALIDAD DE VALLE VIEJO;PUBLICO;20000000;8800000;28800000;0.694444444444444;7350000;10000000;1000000;Municipio;08-Agricultura
13;CA-4-PFI-2023;4;CA;NOA;CATAMARCA;LABORATORIO PROTOTIPADO DE AGREGADO DE VALOR DE ECONOMÍA REGIONAL (NUEZ);INTA;MUNICIPALIDAD DE LONDRES;PUBLICO;25000000;7000000;32000000;0.78125;0;9078000;0;Municipio;06-Producción y tecnología industrial
14;CA-5-PFI-2023;5;CA;NOA;CATAMARCA;UN APORTE HACIA LA EFICIENCIA ENERGETICA Y LA FORMACIÓN DE RECURSOS HUMANOS LOCALES CON ENERGIAS RENOVABLES EN EL CENTRO DE INNOVACIÓN- PACLIN INTERACTIVO;;MUNICIPALIDAD DE PACLIN;PUBLICO;22500000;6000000;28500000;0.789473684210526;6000000;9440000;0;Municipio;05-Energía
15;CA-6-PFI-2023;6;CA;NOA;CATAMARCA;RECUPERACIÓN DE MICROPOLO DE TALLERES CON ESPECIALIZACIÓN EN FABRICACIÓN DE CALZADO;TANGO DE SERSA FABRICA DE ALPARGATAS;TANGO DE SERSA;PRIVADO;15000000;7500000;22500000;0.666666666666667;0;7500000;100000;Emp Priv;06-Producción y tecnología industrial
16;CA-7-PFI-2023;7;CA;NOA;CATAMARCA;COCINA DIRECTA;COOPERATIVA DE TRABAJO AGROGANADERA AYNI LIMITADA.-;COOPERATIVA DE TRABAJO AGROGANADERA AYNI LIMITADA.-;PRIVADO;15000000;6600000;21600000;0.694444444444444;6600000;7500000;0;ESFL;06-Producción y tecnología industrial
17;CA-8-PFI-2023;8;CA;NOA;CATAMARCA;PUESTA A PUNTO Y TRANSFERENCIA DE BIOINSUMOS A BASE DE MICROORGANISMOS BENEFICOS PARA UNA PRODUCCION AGRICOLA SUSTENTABLE;UNCA;Universidad Nacional de Catamarca -Facultad de Ciencias Agrarias;PUBLICO;10000000;9126000;19126000;0.522848478510928;9126000;5000000;200000;Univ Pub;08-Agricultura
18;CA-9-PFI-2023;9;CA;NOA;CATAMARCA;RELATO DE LO INTANGIBLE DE UN CAMINO ANCESTRAL QUE UNE TERRITORIOS:PARQUE NACIONAL SIERRAS AMBATO - RP14;UNCA;MUNICIPALIDAD DE HUILLAPIMA;PUBLICO;10000000;2500000;12500000;0.8;600000;5000000;0;Municipio;10-Cultura, recreación, religión y medios de comunicación
19;CA-10-PFI-2023;10;CA;NOA;CATAMARCA;CARTOGRAFÍAS DIGITALES SOBRE PRACTICAS ALIMENTARIAS DE ADOLESCENTES ESCOLARIZADOS CATAMARQUEÑ@S: DISEÑO DE UNA APLICACIÓN DIGITAL PARA LA EDUCACION ALIMENTARIA;IRES;MUNICIPALIDAD DE SAN FERNANDO DEL VALLE DE CATAMARCA;PUBLICO;10000000;9832000;19832000;0.504235578862445;9632000;5354000;0;Municipio;07-Salud
20;CA-11-PFI-2023;11;CA;NOA;CATAMARCA;BIBLIOTECA DIGITAL DE AUTORES CATAMARQUEÑOS. PUESTA EN VALOR Y DIFUSION DE LA OBRA CIENTIFICA Y CULTURAL DE LA PROVINCIA DE CATAMARCA;UNCA;MINISTERIO DE CULTURA BIBLIOTECA PROVINCIAL DR. JULIO HERRERA ;PUBLICO;10000000;2088000;12088000;0.827266710787558;2088000;2100000;0;Org Pub;12-Producción general de conocimiento
21;CA-12-PFI-2023;12;CA;NOA;CATAMARCA;CHATBOT DE GESTION EDUCATIVA PARA EL ACOMPAÑAMIENTO PEDAGOGICO DE ESTUDIANTES DE NIVEL SUPERIOR;UNCA;Universidad Nacional de Catamarca;PUBLICO;12500000;2520000;15020000;0.832223701731025;2520000;3100000;0;Univ Pub;09-Educación
22;CA-13-PFI-2023;13;CA;NOA;CATAMARCA;FORTALECIMIENTO TECNOLÓGICO DE MUJERES RURALES PRODUCTORAS DE AGROALIMENTOS;IRES;MUNICIPALIDAD DE VALLE VIEJO;PUBLICO;10000000;5520000;15520000;0.644329896907217;5520000;7700000;0;Municipio;08-Agricultura
23;CHA-1-PFI-2023;1;CH;NEA;CHACO;"FORMULACIONES FARMACEUTICAS PEDIATRICAS A BASE DE NANO/MICROTECNOLOGÍA
";Instituto de Investigación en Procesos Tecnológicos Avanzados (INIPTA-CONICET-UNCAUS);Instituto de Investigación en Procesos Tecnológicos Avanzados (INIPTA-CONICET-UNCAUS);PUBLICO;15000000;3772080;18772080;0.799059028088523;3772080;7500000;375000;CONICET;07-Salud
24;CHA-2-PFI-2023;2;CH;NEA;CHACO;TECNOLOGÍA Y PROCESOS TECNOLÓGICOS LIMPIOS PARA LA EXTRACCIÓN DE AGUA SEGURA EN LOS PARAJES DE MISIÓN NUEVA POMPEYA Y EL SAUZALITO EN LOS BOSQUES CHAQUEÑOS DEL IMPENETRABLE;FACULTAD DE INGENIERIA – UNIVERSIDAD NACIONAL DEL NORDESTE ;FUNDACION EL IMPENETRABLE NUESTRA CASA;PUBLICO;11000000;3600000;14600000;0.753424657534247;0;2600000;200000;ESFL;07-Salud
25;CHA-3-PFI-2023;3;CH;NEA;CHACO;AERODESTILADOR- MEJORAMIENTO DE AGUAS SALOBRES EN PROCESOS DE BAJA ENTALPIA A TRAVES DE SISTEMA DE APROVECHAMIENTO DE ENERGÍA SOLAR;Universidad Nacional del Nordeste (UNNE);Universidad Nacional del Nordeste -Facultad de Ingeniería ;PUBLICO;10500000;4650000;15150000;0.693069306930693;4650000;4806000;210000;Univ Pub;02-Medio Ambiente
26;CHA-4-PFI-2023;4;CH;NEA;CHACO;ELABORACIÓN DE UN SNACK SALUDABLE A PARTIR DE INGREDIENTES NATURALES DE PRODUCCIÓN LOCAL;INIPTA (CONICET-UNCAUS);Instituto de Investigación en Procesos Tecnológicos Avanzados (INIPTA-CONICET-UNCAUS);PUBLICO;15000000;12849000;27849000;0.538618980932888;12849000;10400000;0;CONICET;07-Salud
27;CHA-5-PFI-2023;5;CH;NEA;CHACO;MONITOREO Y ALERTA TEMPRANA DE CIANOBACTERIAS, MICROALGAS, PLANTAS INVASORAS Y ESPECIES EXÓTICAS EN EL SITIO RAMSAR HUMEDALES CHACO: BUSCANDO SOLUCIONES SUSTENTABLES;Centro de Ecología Aplicada del Litoral CECOAL-CONICET-UNNE;Ministerio de Ambiente y Desarrollo Territorial Sostenible de la Provincia del Chaco-Subsecretaría de Ambiente y Biodiversidad de la Provincia del Chaco;PUBLICO;15538605;11400000;26938605;0.576815503252674;11400000;7305374;301817;Org Pub;04-Transporte, telecomunicación y otras infraestructuras
